Item_Code,Material_Code,Qty,T_B,Package,Cell
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0202-001950,1,SB,P0804,1.0
EP94-04768A,0401-000132,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001089,1,SB,E0804_L,1
EP94-04768A,0401-001298,1,SB,E0804,1
EP94-04768A,0401-001298,1,SB,E0804,1
EP94-04768A,0404-001172,1,SB,E0804_L,1
EP94-04768A,0404-001172,1,SB,E0804_L,1
EP94-04768A,0404-001901,1,SB,E0804_L,1
EP94-04768A,0404-001901,1,SB,E0804_L,1
EP94-04768A,0404-001901,1,SB,E0804_L,1
EP94-04768A,0404-001901,1,SB,E0804_L,1
EP94-04768A,0404-001962,1,SB,E1608_L,2.1
EP94-04768A,0404-001962,1,SB,E1608_L,2.1
EP94-04768A,0406-001070,1,SB,E1208_L,2.1
EP94-04768A,0406-001070,1,SB,E1208_L,2.1
EP94-04768A,0406-001070,1,SB,E1208_L,2.1
EP94-04768A,0406-001373,1,SB,M0804_L,1
EP94-04768A,0406-001373,1,SB,M0804_L,1
EP94-04768A,0501-000465,1,SB,E0804_L,1
EP94-04768A,0505-001477,1,SB,E1608_L,2.1
EP94-04768A,0505-001477,1,SB,E1608_L,2.1
EP94-04768A,0505-003382,1,SB,E0804_L,1
EP94-04768A,0505-003382,1,SB,E0804_L,1
EP94-04768A,0505-003397,1,SB,E0804_L,1
EP94-04768A,0505-003397,1,SB,E0804_L,1
EP94-04768A,0505-003397,1,SB,E0804_L,1
EP94-04768A,0505-003443,1,SB,E2416_L,3
EP94-04768A,0505-003824,1,SB,E0804,1
EP94-04768A,0505-003824,1,SB,E0804,1
EP94-04768A,0505-003824,1,SB,E0804,1
EP94-04768A,0505-003824,1,SB,E0804,1
EP94-04768A,0505-003824,1,SB,E0804,1
EP94-04768A,0601-004011,1,SB,E0804,1
EP94-04768A,0601-004011,1,SB,E0804,1
EP94-04768A,0601-004011,1,SB,E0804,1
EP94-04768A,0601-004011,1,SB,E0804,1
EP94-04768A,0604-001408,1,SB,E1208_L,2.1
EP94-04768A,0604-001408,1,SB,E1208_L,2.1
EP94-04768A,0604-001408,1,SB,E1208_L,2.1
EP94-04768A,0604-001408,1,SB,E1208_L,2.1
EP94-04768A,0801-003543,1,SB,E0804_L,1
EP94-04768A,1001-002126,1,SB,E0804_L,1
EP94-04768A,1001-002126,1,SB,E0804_L,1
EP94-04768A,1001-002126,1,SB,E0804_L,1
EP94-04768A,1001-002126,1,SB,E0804_L,1
EP94-04768A,1003-002942,1,SB,E1208_L,2.1
EP94-04768A,1006-001589,1,SB,E1608_L,2.1
EP94-04768A,1105-003186,1,SB,E2416,3
EP94-04768A,1105-003204,1,SB,E2412,3
EP94-04768A,1105-003204,1,SB,E2412,3
EP94-04768A,1105-003205,1,SB,E2412,3
EP94-04768A,1107-002634,1,SB,1107-002634_1117,1
EP94-04768A,1107-002848,1,SB,1107-002848_0814,1
EP94-04768A,1201-004234,1,SB,E0804_L,1
EP94-04768A,1201-004234,1,SB,E0804_L,1
EP94-04768A,1201-004234,1,SB,E0804_L,1
EP94-04768A,1201-004234,1,SB,E0804_L,1
EP94-04768A,1203-005714,1,SB,E1612_L,2.1
EP94-04768A,1203-006936,1,SB,E0804_L,1
EP94-04768A,1203-006936,1,SB,E0804_L,1
EP94-04768A,1203-008060,1,SB,E1208_L,2.1
EP94-04768A,1203-008060,1,SB,E1208_L,2.1
EP94-04768A,1203-008807,1,SB,E0804_L,1
EP94-04768A,1203-008892,1,SB,E1208_L,2.1
EP94-04768A,1203-009475,1,SB,1203-009475_0821,1
EP94-04768A,1203-009493,1,SB,E1208_L,2.1
EP94-04768A,1203-009581,1,SB,E1208_L,2.1
EP94-04768A,1203-009826,1,SB,E1208,2.1
EP94-04768A,1205-006422,1,SB,E2420,3
EP94-04768A,1205-006613,1,SB,E2420,3
EP94-04768A,1209-002472,1,SB,E1208_L,2.1
EP94-04768A,1209-002472,1,SB,E1208_L,2.1
EP94-04768A,1209-002472,1,SB,E1208_L,2.1
EP94-04768A,1209-002589,1,SB,E1612,2.1
EP94-04768A,1301-002296,1,SB,1301-002296_0206,
EP94-04768A,1404-001259,1,SB,P0804,1
EP94-04768A,1404-001259,1,SB,P0804,1
EP94-04768A,1404-001745,1,SB,P0804,1
EP94-04768A,1404-001745,1,SB,P0804,1
EP94-04768A,2007-000033,1,SB,P0804,1
EP94-04768A,2007-000033,1,SB,P0804,1
EP94-04768A,2007-000034,1,SB,P0804,1
EP94-04768A,2007-000034,1,SB,P0804,1
EP94-04768A,2007-000034,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000040,1,SB,P0804,1
EP94-04768A,2007-000052,1,SB,P0804,1
EP94-04768A,2007-000052,1,SB,P0804,1
EP94-04768A,2007-000052,1,SB,P0804,1
EP94-04768A,2007-000052,1,SB,P0804,1
EP94-04768A,2007-000060,1,SB,P0804,1
EP94-04768A,2007-000067,1,SB,P0804,1
EP94-04768A,2007-000067,1,SB,P0804,1
EP94-04768A,2007-000070,1,SB,P0804,1
EP94-04768A,2007-000166,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000170,1,SB,P0802,1
EP94-04768A,2007-000299,1,SB,P0804,1
EP94-04768A,2007-000299,1,SB,P0804,1
EP94-04768A,2007-000299,1,SB,P0804,1
EP94-04768A,2007-000360,1,SB,P0804,1
EP94-04768A,2007-000360,1,SB,P0804,1
EP94-04768A,2007-000360,1,SB,P0804,1
EP94-04768A,2007-000360,1,SB,P0804,1
EP94-04768A,2007-000693,1,SB,P0804,1
EP94-04768A,2007-000714,1,SB,P0804,1
EP94-04768A,2007-000850,1,SB,P0804,1
EP94-04768A,2007-000850,1,SB,P0804,1
EP94-04768A,2007-000850,1,SB,P0804,1
EP94-04768A,2007-000850,1,SB,P0804,1
EP94-04768A,2007-000879,1,SB,P0804,1
EP94-04768A,2007-000883,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000903,1,SB,P0804,1
EP94-04768A,2007-000932,1,SB,P0802,1
EP94-04768A,2007-000932,1,SB,P0802,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-000962,1,SB,P0804,1
EP94-04768A,2007-001076,1,SB,P0804,1
EP94-04768A,2007-001076,1,SB,P0804,1
EP94-04768A,2007-001258,1,SB,P0804,1
EP94-04768A,2007-001258,1,SB,P0804,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001292,1,SB,P0802,1
EP94-04768A,2007-001298,1,SB,P0802,1
EP94-04768A,2007-001298,1,SB,P0802,1
EP94-04768A,2007-001298,1,SB,P0802,1
EP94-04768A,2007-001298,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001305,1,SB,P0802,1
EP94-04768A,2007-001316,1,SB,P0802,1
EP94-04768A,2007-001316,1,SB,P0802,1
EP94-04768A,2007-002593,1,SB,P0804,1
EP94-04768A,2007-002593,1,SB,P0804,1
EP94-04768A,2007-002593,1,SB,P0804,1
EP94-04768A,2007-002593,1,SB,P0804,1
EP94-04768A,2007-002899,1,SB,P0804,1
EP94-04768A,2007-002899,1,SB,P0804,1
EP94-04768A,2007-002899,1,SB,P0804,1
EP94-04768A,2007-002899,1,SB,P0804,1
EP94-04768A,2007-002899,1,SB,P0804,1
EP94-04768A,2007-003015,1,SB,P0802,1
EP94-04768A,2007-007107,1,SB,P0802,1
EP94-04768A,2007-007107,1,SB,P0802,1
