Job Name,EP94-04794A_PP3235-77A_T_01B,Type,Board No.,Ref.,Pos X,Pos Y,Mark Name,ASSIGN,,,,,,
X,360,Fiducial,0,V1,335.000,135.500,M1,NXT16M,,,,,,
Y,159,Fiducial,0,V2,29.500,19.000,M1,NXT16M,,,,,,
T,2,Panel ID,0,PSN,349.000,80.500,2D Label,,,,,,,
Level,Ref.,Pos X,Pos Y,,,,,,,,,,,
Global,BackupPin1,,,,,,,,,,,,,
Global,BackupPin2,,,,,,,,,,,,,
Global,BackupPin3,,,,,,,,,,,,,
Global,BackupPin4,,,,,,,,,,,,,
Global,BackupPin5,,,,,,,,,,,,,
Global,BackupPin6,,,,,,,,,,,,,
Global,BackupPin7,,,,,,,,,,,,,
Global,BackupPin8,,,,,,,,,,,,,
Global,BackupPin9,,,,,,,,,,,,,
Global,BackupPin10,,,,,,,,,,,,,
Global,BackupPin11,,,,,,,,,,,,,
Global,BackupPin12,,,,,,,,,,,,,
Global,BackupPin13,,,,,,,,,,,,,
Global,BackupPin14,,,,,,,,,,,,,
Global,BackupPin15,,,,,,,,,,,,,
Global,BackupPin16,,,,,,,,,,,,,
Global,BackupPin17,,,,,,,,,,,,,
Global,BackupPin18,,,,,,,,,,,,,
Global,BackupPin19,,,,,,,,,,,,,
Global,BackupPin20,,,,,,,,,,,,,
Ref.,Pos X,Pos Y,Rotation,Part Number,Place Before,Board,Part Name,Cond,Vender,Feeder,Pos Z,Carry Mode,Stack Target,
C206,70.900,26.900,0,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C207,213.000,27.500,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C208,234.500,27.500,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C209,102.000,25.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C21,159.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C210,106.500,25.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C211,125.500,25.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C212,130.000,25.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C217,213.000,20.700,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C218,234.500,20.700,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C219,199.000,20.000,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C220,192.500,16.700,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C224,63.200,113.700,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C225,59.300,110.600,0,2203-006048,,1,R1005_ms_V5,SMD,,P0802,0,,,
C226,61.200,110.600,0,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C242,149.500,103.100,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C243,150.700,103.400,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C244,83.600,96.300,0,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C245,83.500,97.400,0,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C247,195.000,101.700,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C248,152.800,98.300,0,2203-007776,,1,R2012_CAP_ms_V2,SMD,,E0804,0,,,
C249,152.500,96.900,0,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C250,59.700,100.100,0,2203-000438,,1,R1005_ms_V5,SMD,,P0802,0,,,
C251,58.300,102.200,90,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C252,55.000,101.700,0,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C253,48.200,100.200,0,2203-000438,,1,R1005_ms_V5,SMD,,P0802,0,,,
C254,191.200,100.800,90,2203-005968,,1,R1005_ms_V5,SMD,,P0802,0,,,
C255,192.100,100.800,90,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C256,195.000,100.500,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C257,59.700,98.500,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C258,46.800,98.300,90,2203-000438,,1,R1005_ms_V5,SMD,,P0802,0,,,
C259,198.800,99.300,0,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C26,74.000,118.400,0,2203-007776,,1,R2012_CAP_ms_V2,SMD,,E0804,0,,,
C260,198.800,98.400,0,2203-005968,,1,R1005_ms_V5,SMD,,P0802,0,,,
C261,63.400,97.900,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C262,47.100,93.300,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C263,47.100,91.700,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C264,199.200,95.900,90,2203-005083,,1,R1608_CAP_ms_V1,SMD,,P0804_L,0,,,
C265,200.500,95.900,90,2203-005083,,1,R1608_CAP_ms_V1,SMD,,P0804_L,0,,,
C266,52.900,90.000,90,2203-000995,,1,R1005_ms_V5,SMD,,P0802,0,,,
C267,52.100,90.000,90,2203-000995,,1,R1005_ms_V5,SMD,,P0802,0,,,
C268,192.600,92.800,90,2203-008765,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C269,193.800,93.100,90,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C27,74.200,117.000,0,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C270,194.700,93.100,90,2203-005968,,1,R1005_ms_V5,SMD,,P0802,0,,,
C271,199.800,93.000,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C272,199.800,91.800,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C273,191.200,90.100,90,2203-001428,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C274,193.000,90.100,90,2203-001428,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C275,199.800,90.600,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C276,199.800,89.400,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C28,71.200,113.600,0,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C282,241.000,32.000,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C283,244.000,32.000,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C284,247.000,32.000,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C285,257.000,32.000,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C288,241.000,27.500,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C289,244.000,27.500,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C29,71.300,112.500,0,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C290,247.000,27.500,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C291,257.000,27.500,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C292,243.600,87.000,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C293,243.600,85.300,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C3,105.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C38,85.000,104.700,90,2203-007776,,1,R2012_CAP_ms_V2,SMD,,E0804,0,,,
C39,86.300,104.300,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C4,108.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C40,126.400,104.500,90,2203-007776,,1,R2012_CAP_ms_V2,SMD,,E0804,0,,,
C41,127.700,104.200,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C42,52.500,103.400,0,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C43,52.500,102.100,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C44,57.500,102.200,90,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C45,59.100,102.200,90,2203-000233,,1,R1005_ms_V5,SMD,,P0802,0,,,
C46,69.100,106.900,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C49,113.900,102.600,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C5,111.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C51,157.900,103.600,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C52,49.900,101.300,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C53,52.500,101.300,0,2203-000254,,1,R1005_ms_V5,SMD,,P0802,0,,,
C54,59.700,100.900,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C55,77.500,99.400,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C56,105.500,102.000,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C57,106.500,102.000,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C6,114.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C61,229.500,102.000,0,2203-008386,,1,R1005_ms_V5,SMD,,P0802,0,,,
C62,63.700,100.000,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C63,66.100,100.000,0,2203-009778,,1,R1005_ms_V5,SMD,,P0802,0,,,
C65,119.000,99.400,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C68,108.300,96.100,0,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C69,108.800,97.400,0,2203-007776,,1,R2012_CAP_ms_V2,SMD,,E0804,0,,,
C7,117.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C70,125.000,97.100,0,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C72,224.000,96.500,90,2203-008386,,1,R1005_ms_V5,SMD,,P0802,0,,,
C73,226.700,98.000,0,2203-000233,,1,R1005_ms_V5,SMD,,P0802,0,,,
C74,232.500,97.000,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C75,46.500,95.600,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C76,47.800,95.600,90,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C77,48.600,95.600,90,2203-000254,,1,R1005_ms_V5,SMD,,P0802,0,,,
C78,59.300,95.700,90,2203-000254,,1,R1005_ms_V5,SMD,,P0802,0,,,
C79,60.100,95.700,90,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C8,120.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C80,61.400,95.700,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C81,124.900,95.900,0,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C82,224.000,94.500,90,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C83,232.500,96.000,0,2203-000233,,1,R1005_ms_V5,SMD,,P0802,0,,,
C84,232.500,95.000,0,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C9,123.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C90,154.800,90.000,0,2203-009014,,1,R1005_ms_V5,SMD,,P0802,0,,,
C91,156.400,90.000,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
C92,50.100,89.200,90,2203-000233,,1,R1005_ms_V5,SMD,,P0802,0,,,
C93,55.400,89.400,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C96,56.500,77.000,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C97,58.500,77.000,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C98,113.800,90.000,0,2203-009014,,1,R1005_ms_V5,SMD,,P0802,0,,,
C99,115.400,90.000,0,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
CS1,79.400,134.500,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS10,104.000,88.300,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS11,128.500,88.300,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS12,145.600,88.300,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS13,88.400,53.700,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS14,102.600,53.700,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS15,130.200,53.700,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS16,144.200,53.700,0,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS2,154.600,134.600,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS3,111.600,133.000,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS4,122.400,133.000,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS5,79.400,116.500,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS6,111.600,118.000,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS7,122.400,118.000,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS8,154.600,116.500,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
